dataelement,period,orgunit_id,total_consumption,average_consumption
cPlWFYbBacW.w77uMi1KzOH,202501,A1BCmizFgwx,151,151
cPlWFYbBacW.w77uMi1KzOH,202501,A4jMayEW5Ak,267,267
cPlWFYbBacW.w77uMi1KzOH,202501,AitdgAZ8GD5,315,315
cPlWFYbBacW.w77uMi1KzOH,202501,Dc490tfhuoe,185,185
cPlWFYbBacW.w77uMi1KzOH,202501,EGS0saGNDoS,326,326
cPlWFYbBacW.w77uMi1KzOH,202501,EjykHy5VeYP,401,401
cPlWFYbBacW.w77uMi1KzOH,202501,G4fYKBYErXO,149,149
cPlWFYbBacW.w77uMi1KzOH,202501,G8avY4Gzra8,112,112
cPlWFYbBacW.w77uMi1KzOH,202501,GLeVzenn2ab,85,85
cPlWFYbBacW.w77uMi1KzOH,202501,H16bRPpldhI,161,161
cPlWFYbBacW.w77uMi1KzOH,202501,Hj3XAIel08A,421,421
cPlWFYbBacW.w77uMi1KzOH,202501,HrHLibwIUXR,119,119
cPlWFYbBacW.w77uMi1KzOH,202501,I4BCLbgxYm4,334,334
cPlWFYbBacW.w77uMi1KzOH,202501,IFuOOELukKp,105,105
cPlWFYbBacW.w77uMi1KzOH,202501,IKD1KqSlD7j,45,45
cPlWFYbBacW.w77uMi1KzOH,202501,IdRGPWFDsW3,116,116
cPlWFYbBacW.w77uMi1KzOH,202501,JQe7pWZBruX,113,113
cPlWFYbBacW.w77uMi1KzOH,202501,JXcyxGXlL9O,277,277
cPlWFYbBacW.w77uMi1KzOH,202501,JtllB0zMEYx,227,227
cPlWFYbBacW.w77uMi1KzOH,202501,K8ywGqSdgUL,165,165
cPlWFYbBacW.w77uMi1KzOH,202501,KK9ISvjjUvP,215,215
cPlWFYbBacW.w77uMi1KzOH,202501,KhOjFDcfVKc,50,50
cPlWFYbBacW.w77uMi1KzOH,202501,Ki3E4GNuj27,60,60
cPlWFYbBacW.w77uMi1KzOH,202501,L9EJeHLBG1b,18,18
cPlWFYbBacW.w77uMi1KzOH,202501,LH6lsUoL8YL,522,522
cPlWFYbBacW.w77uMi1KzOH,202501,LWoO0Z47tGZ,225,225
cPlWFYbBacW.w77uMi1KzOH,202501,Lj0cG3leIx7,486,486
