dataelement,period,orgunit_id,total_consumption,average_consumption
cPlWFYbBacW.w77uMi1KzOH,202409,A1BCmizFgwx,674,112
cPlWFYbBacW.w77uMi1KzOH,202408,A4jMayEW5Ak,1152,192
cPlWFYbBacW.w77uMi1KzOH,202412,AitdgAZ8GD5,1201,200
cPlWFYbBacW.w77uMi1KzOH,202408,Dc490tfhuoe,1263,210
cPlWFYbBacW.w77uMi1KzOH,202410,EGS0saGNDoS,1227,204
cPlWFYbBacW.w77uMi1KzOH,202501,EjykHy5VeYP,1705,284
cPlWFYbBacW.w77uMi1KzOH,202412,G4fYKBYErXO,738,123
cPlWFYbBacW.w77uMi1KzOH,202501,G8avY4Gzra8,498,83
cPlWFYbBacW.w77uMi1KzOH,202411,GLeVzenn2ab,608,101
cPlWFYbBacW.w77uMi1KzOH,202411,H16bRPpldhI,985,164
cPlWFYbBacW.w77uMi1KzOH,202411,Hj3XAIel08A,1719,286
cPlWFYbBacW.w77uMi1KzOH,202412,HrHLibwIUXR,826,138
cPlWFYbBacW.w77uMi1KzOH,202409,I4BCLbgxYm4,1523,254
cPlWFYbBacW.w77uMi1KzOH,202408,IFuOOELukKp,418,70
cPlWFYbBacW.w77uMi1KzOH,202501,IKD1KqSlD7j,311,52
cPlWFYbBacW.w77uMi1KzOH,202412,IdRGPWFDsW3,707,118
cPlWFYbBacW.w77uMi1KzOH,202412,JQe7pWZBruX,532,89
cPlWFYbBacW.w77uMi1KzOH,202408,JXcyxGXlL9O,1305,218
cPlWFYbBacW.w77uMi1KzOH,202501,JtllB0zMEYx,1439,240
cPlWFYbBacW.w77uMi1KzOH,202410,K8ywGqSdgUL,693,116
cPlWFYbBacW.w77uMi1KzOH,202501,KK9ISvjjUvP,1413,236
cPlWFYbBacW.w77uMi1KzOH,202410,KhOjFDcfVKc,254,42
cPlWFYbBacW.w77uMi1KzOH,202501,Ki3E4GNuj27,243,61
cPlWFYbBacW.w77uMi1KzOH,202410,L9EJeHLBG1b,516,86
cPlWFYbBacW.w77uMi1KzOH,202411,LH6lsUoL8YL,2828,566
cPlWFYbBacW.w77uMi1KzOH,202410,LWoO0Z47tGZ,1493,249
cPlWFYbBacW.w77uMi1KzOH,202410,Lj0cG3leIx7,2047,341
cPlWFYbBacW.w77uMi1KzOH,202408,MWcwkURjOjR,1317,220
cPlWFYbBacW.w77uMi1KzOH,202501,MnFD3y1T1GX,1485,297
cPlWFYbBacW.w77uMi1KzOH,202501,NTd90mu0tB5,425,71
cPlWFYbBacW.w77uMi1KzOH,202410,OcBiVEIEjO7,391,65
